,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,VZ,V,WMT,WBA,DIS,^DJI
2000-01-26,48.15625,46.60972595214844,3.935267925262451,46.1875,22.46875,43.875,53.59375,31.53125,,41.75,88.25,57.375,116.75,48.25,41.75,52.29166793823242,35.75,72.8125,49.6875,6.1875,34.875,50.3125,17.935808181762695,32.375,6.8828125,51.935890197753906,,61.9375,29.25,36.13056182861328,11032.990234375
2000-01-27,48.125,47.539730072021484,3.9285714626312256,45.0625,22.28125,42.15625,53.3125,29.75,,40.5,89.0,58.25,113.5,49.0625,40.25,53.79166793823242,37.625,74.125,49.375,5.90625,34.5,52.03125,17.365482330322266,30.5625,6.7734375,52.38555145263672,,59.125,29.125,36.62381362915039,11028.01953125
2000-01-28,46.125,46.17207336425781,3.6294643878936768,44.625,21.75,41.28125,51.9375,28.46875,,39.4375,87.0,55.625,111.5625,47.0,42.25,51.125,36.75,76.375,49.125,5.859375,35.1875,50.15625,16.441158294677734,30.0,6.578125,51.8234748840332,,55.125,28.8125,36.253875732421875,10738.8701171875
2000-01-31,46.8125,48.06855773925781,3.705357074737549,44.5,21.21875,41.8125,54.75,28.71875,,41.4375,91.625,56.625,112.25,49.46875,43.03125,53.79166793823242,37.375,78.625,48.9375,5.6875,36.1875,50.53125,16.657489776611328,30.1875,6.625,55.701805114746094,,54.75,27.9375,35.82228088378906,10940.5302734375
2000-02-01,47.0625,49.30856704711914,3.580357074737549,43.75,21.59375,41.59375,58.90625,29.0625,,41.59375,91.25,62.0,110.0,50.71875,42.40625,55.83333206176758,36.625,76.8125,51.46875,5.8359375,37.0,49.75,16.89348602294922,29.3125,6.8046875,53.56591033935547,,58.6875,28.8125,35.513999938964844,11041.0498046875
2000-02-02,46.25,47.90443801879883,3.529017925262451,44.625,21.71875,41.3125,56.9375,28.1875,,41.90625,91.125,60.75,113.5,50.03125,42.6875,54.91666793823242,35.5,76.875,50.40625,5.9296875,36.0,49.3125,16.91315269470215,27.875,6.984375,53.34107971191406,,58.375,28.9375,36.74712371826172,11003.2001953125
2000-02-03,45.84375,47.5214958190918,3.689732074737549,43.4375,21.15625,40.71875,58.90625,27.625,,41.1875,85.375,60.5,117.125,52.09375,41.65625,55.45833206176758,35.0,76.25,51.8125,5.984375,35.625,48.90625,16.657489776611328,26.625,6.921875,52.55417251586914,,58.375,28.875,37.363685607910156,11013.4404296875
2000-02-04,44.53125,47.102081298828125,3.857142925262451,44.0,21.15625,39.28125,60.5625,28.125,,40.4375,84.6875,61.125,115.625,52.375,41.0625,54.5,35.125,75.0625,53.28125,5.8359375,35.75,47.375,16.16582679748535,26.75,7.09375,52.666587829589844,,56.3125,29.1875,37.610313415527344,10963.7998046875
2000-02-07,43.8125,47.39384841918945,4.073660850524902,41.8125,20.625,39.53125,62.59375,28.4375,,40.375,85.75,59.0,114.125,53.96875,40.71875,54.79166793823242,34.9375,75.25,53.3125,5.65625,37.0,46.625,16.106828689575195,26.625,7.2734375,53.734535217285156,,55.75,28.9375,37.48699951171875,10905.7900390625
2000-02-08,43.84375,47.55796813964844,4.1026787757873535,41.0,20.5,39.15625,62.90625,28.59375,,39.46875,89.4375,61.0,118.8125,54.40625,41.03125,56.70833206176758,36.3125,75.4375,54.96875,4.625,37.8125,47.875,16.047828674316406,26.3125,7.0,53.06004333496094,,59.5,30.125,37.05540466308594,10957.599609375
