,Open,Low,Close,High,Volume
2019-01-02,5.179999828338623,5.179999828338623,5.309999942779541,5.309999942779541,3799800.0
2019-01-03,5.329999923706055,5.28000020980835,5.329999923706055,5.369999885559082,4583600.0
2019-01-04,5.46999979019165,5.449999809265137,5.539999961853027,5.570000171661377,4078400.0
2019-01-07,5.539999961853027,5.5,5.550000190734863,5.619999885559082,4206300.0
2019-01-08,5.619999885559082,5.550000190734863,5.599999904632568,5.619999885559082,2190700.0
2019-01-09,5.71999979019165,5.650000095367432,5.699999809265137,5.75,3218800.0
2019-01-10,5.699999809265137,5.699999809265137,5.760000228881836,5.769999980926514,3565100.0
2019-01-11,5.739999771118164,5.730000019073486,5.789999961853027,5.840000152587891,10369000.0
2019-01-14,5.679999828338623,5.670000076293945,5.789999961853027,5.840000152587891,6021400.0
2019-01-15,5.690000057220459,5.679999828338623,5.760000228881836,5.760000228881836,5144100.0
2019-01-16,5.800000190734863,5.769999980926514,5.860000133514404,5.880000114440918,3628500.0
2019-01-17,5.789999961853027,5.739999771118164,5.789999961853027,5.840000152587891,4043700.0
2019-01-18,5.920000076293945,5.880000114440918,5.949999809265137,5.980000019073486,4240200.0
2019-01-22,5.880000114440918,5.860000133514404,5.900000095367432,5.909999847412109,4892000.0
2019-01-23,5.96999979019165,5.940000057220459,5.989999771118164,6.0,3911800.0
2019-01-24,5.929999828338623,5.869999885559082,5.929999828338623,5.949999809265137,3311700.0
2019-01-25,5.989999771118164,5.989999771118164,6.099999904632568,6.110000133514404,4431700.0
2019-01-28,6.010000228881836,6.0,6.070000171661377,6.090000152587891,4120800.0
2019-01-29,6.03000020980835,6.0,6.019999980926514,6.050000190734863,2250100.0
2019-01-30,6.039999961853027,6.0,6.070000171661377,6.110000133514404,1785000.0
2019-01-31,5.880000114440918,5.869999885559082,5.96999979019165,5.989999771118164,3468600.0
2019-02-01,5.920000076293945,5.880000114440918,5.960000038146973,6.0,3438600.0
2019-02-04,5.909999847412109,5.860000133514404,5.96999979019165,6.0,3416200.0
2019-02-05,5.960000038146973,5.920000076293945,6.0,6.0,2009400.0
2019-02-06,5.949999809265137,5.940000057220459,5.960000038146973,6.0,2449000.0
2019-02-07,5.880000114440918,5.769999980926514,5.800000190734863,5.880000114440918,3012600.0
2019-02-08,5.769999980926514,5.699999809265137,5.789999961853027,5.800000190734863,2636600.0
2019-02-11,5.820000171661377,5.769999980926514,5.78000020980835,5.820000171661377,1622100.0
