,Open,Low,Close,High,Volume
2019-12-02,5.210000038146973,5.150000095367432,5.159999847412109,5.230000019073486,5304300
2019-12-03,5.150000095367432,5.099999904632568,5.150000095367432,5.150000095367432,7519700
2019-12-04,5.179999828338623,5.170000076293945,5.199999809265137,5.230000019073486,8146800
2019-12-05,5.25,5.199999809265137,5.230000019073486,5.260000228881836,9600000
2019-12-06,5.289999961853027,5.230000019073486,5.25,5.289999961853027,8027400
2019-12-09,5.260000228881836,5.21999979019165,5.21999979019165,5.289999961853027,6410200
2019-12-10,5.21999979019165,5.199999809265137,5.21999979019165,5.260000228881836,13812500
2019-12-11,5.260000228881836,5.230000019073486,5.239999771118164,5.289999961853027,9196800
2019-12-12,5.320000171661377,5.320000171661377,5.449999809265137,5.460000038146973,16828200
2019-12-13,5.519999980926514,5.440000057220459,5.460000038146973,5.590000152587891,11606700
2019-12-16,5.559999942779541,5.550000190734863,5.570000171661377,5.610000133514404,5083700
2019-12-17,5.590000152587891,5.570000171661377,5.579999923706055,5.599999904632568,3945800
2019-12-18,5.610000133514404,5.590000152587891,5.590000152587891,5.630000114440918,5090600
2019-12-19,5.639999866485596,5.630000114440918,5.639999866485596,5.699999809265137,5349900
2019-12-20,5.670000076293945,5.599999904632568,5.599999904632568,5.679999828338623,3826800
2019-12-23,5.590000152587891,5.570000171661377,5.579999923706055,5.610000133514404,2859800
2019-12-24,5.590000152587891,5.539999961853027,5.539999961853027,5.590000152587891,1136900
2019-12-26,5.579999923706055,5.559999942779541,5.590000152587891,5.599999904632568,1935100
2019-12-27,5.579999923706055,5.570000171661377,5.590000152587891,5.599999904632568,2135900
2019-12-30,5.590000152587891,5.539999961853027,5.559999942779541,5.610000133514404,3048700
2019-12-31,5.550000190734863,5.539999961853027,5.579999923706055,5.579999923706055,2162200
